Roster Grade,Official Grade,Grading Basis,Program and Plan,Level,Session,StudentID,IsSenior,IsJunior,IsSophomore,IsBusinessAdmin,NumericalGrade
B-,B-,GRD,College of Arts and Sciences - Economics/Business (Minor),Senior,Fall 2021 1,1819.0,1,0,0,0,2.7
B,B,GRD,College of Arts and Sciences - Actuarial & Mathematical Sci,Senior,Fall 2021 1,1820.0,1,0,0,0,3.0
A,A,GRD,Criminal Justice - Criminal Justice/Business (Minor),Junior,Fall 2021 1,1832.0,0,1,0,0,4.0
A,A,GRD,Business Administration - Business Administration/Sociology,Senior,Fall 2021 1,1843.0,1,0,0,1,4.0
A,A,GRD,Business Administration - Business Administration/Communication (Minor),Senior,Fall 2021 1,1845.0,1,0,0,1,4.0
A,A,GRD,College of Arts and Sciences - Business Economics,Senior,Fall 2021 1,1846.0,1,0,0,0,4.0
A,A,GRD,Business Administration - Business Administration/Economics/Financial Market Regul (Minor)/Public,Junior,Fall 2021 1,1847.0,0,1,0,1,4.0
A,A,GRD,Intended - Business Admin (intended),Junior,Fall 2021 1,1857.0,0,1,0,0,4.0
A,A,GRD,Business Administration - Business Administration/Communication (Minor),Senior,Fall 2021 1,1859.0,1,0,0,1,4.0
B+,B+,GRD,Business Administration - Business Administration,Junior,Fall 2021 1,1862.0,0,1,0,1,3.3
A,A,GRD,Business Administration - Business Administration/Art (Minor),Senior,Fall 2021 1,1866.0,1,0,0,1,4.0
A,A,GRD,Business Administration - Accounting/Business (Minor)/Law & Philosophy (Minor),Senior,Fall 2021 1,1872.0,1,0,0,1,4.0
A-,A-,GRD,Business Administration - Business Administration,Junior,Fall 2021 1,1882.0,0,1,0,1,3.7
B+,B+,GRD,Intended - Business Economics (intended)/Business Admin (intended),Junior,Fall 2021 1,1886.0,0,1,0,0,3.3
A,A,GRD,Business Administration - Accounting/Business (Minor),Senior,Fall 2021 1,1895.0,1,0,0,1,4.0
C-,C-,GRD,College of Arts and Sciences - Business Economics/Creative Writing (Minor),Junior,Fall 2021 1,1896.0,0,1,0,0,1.7
B+,B+,GRD,Business Administration - Business Administration,Senior,Fall 2021 1,1906.0,1,0,0,1,3.3
C-,C-,GRD,Business Administration - Accounting/Business (Minor),Senior,Fall 2021 1,1912.0,1,0,0,1,1.7
B,B,GRD,Business Administration - Business Administration,Senior,Fall 2021 1,1923.0,1,0,0,1,3.0
D-,D-,GRD,Business Administration - Business Administration,Senior,Fall 2021 1,1935.0,1,0,0,1,0.7
A-,A-,GRD,College of Arts and Sciences - English/Business (Minor),Junior,Fall 2021 1,1938.0,0,1,0,0,3.7
A,A,GRD,Business Administration - Business Administration,Junior,Fall 2021 1,1964.0,0,1,0,1,4.0
B+,B+,GRD,"Emerg Prep, HomelandSec&Cybsec - Informatics/Business (Minor)",Senior,Fall 2021 1,1966.0,1,0,0,0,3.3
A-,A-,GRD,Business Administration - Business Administration/Informatics (Minor),Junior,Fall 2021 1,1979.0,0,1,0,1,3.7
B,B,GRD,Business Administration - Business Administration/Computer Science,Junior,Fall 2021 1,1981.0,0,1,0,1,3.0
B-,B-,GRD,Business Administration - Business Administration/Political Science (Minor),Junior,Fall 2021 1,2001.0,0,1,0,1,2.7
A-,A-,GRD,Business Administration - Accounting/Business Administration,Junior,Fall 2021 1,2030.0,0,1,0,1,3.7
B,B,GRD,College of Arts and Sciences - Business Economics,Junior,Fall 2021 1,2033.0,0,1,0,0,3.0
