StudentID,AvgSecsOnCapstoneTask,AvgCapstoneScore,AvgNumAttempts
1625.0,18.14,0.87,1.29
1626.0,11.9,0.84,1.3
1627.0,19.12,0.86,1.12
1628.0,26.0,0.88,1.0
1629.0,13.38,0.99,2.12
1630.0,13.88,0.9,1.62
1631.0,14.0,0.65,1.14
1632.0,15.43,0.89,1.0
1633.0,17.5,0.9,1.0
1634.0,26.12,0.98,1.38
1635.0,28.57,0.84,1.0
1636.0,4103.44,0.91,1.33
1637.0,17.0,0.88,1.0
1638.0,19.25,0.88,1.0
1639.0,17.5,1.0,1.12
1640.0,15.71,0.96,2.0
1641.0,22.43,0.86,1.14
1642.0,23.62,0.93,1.62
1643.0,17.88,0.76,1.0
1644.0,16.12,0.98,1.0
1645.0,31.62,0.82,1.0
1646.0,21.75,0.8,1.38
1647.0,51.33,0.94,1.33
1648.0,32.86,0.85,1.29
1649.0,17.67,0.83,1.0
1650.0,18.75,0.86,1.25
1651.0,18.0,0.88,1.12
1652.0,16.5,0.89,1.0
1653.0,11.0,0.99,2.0
1655.0,17.12,0.77,1.0
1656.0,17.86,0.89,1.0
1657.0,17.86,0.92,1.43
1658.0,16.0,0.96,1.0
1659.0,18.12,0.93,1.25
1660.0,15.88,0.94,1.0
1661.0,14.2,0.89,1.8
1662.0,39.62,0.8,1.0
1663.0,16.88,0.98,1.62
1664.0,16.75,0.97,1.38
1665.0,15.88,0.95,1.25
1666.0,23.5,0.83,1.12
1667.0,17.62,0.87,1.12
1668.0,17.38,0.97,1.62
1670.0,18.38,0.75,1.12
1671.0,21.0,0.95,1.25
1672.0,13.5,0.94,1.12
1673.0,16.12,0.89,1.12
1674.0,19.62,0.9,1.25
1675.0,16.0,0.94,1.0
1676.0,25.71,0.92,1.0
1677.0,17.17,0.96,1.0
1678.0,13.88,0.84,1.38
1679.0,17.38,0.99,1.75
1680.0,14.0,0.94,1.25
1681.0,24.62,0.99,2.38
1682.0,19.0,0.86,1.0
1683.0,20.75,0.87,1.25
1684.0,17.62,0.91,1.5
1685.0,167.12,0.98,1.62
1686.0,22.0,0.87,1.29
1687.0,16.33,0.93,1.67
1688.0,17.12,0.75,1.0
1689.0,13.88,0.91,1.12
1690.0,20.0,0.94,1.38
1691.0,16.78,0.87,1.0
1692.0,20.88,0.91,1.0
1693.0,14.5,0.94,1.25
1694.0,22.12,0.89,1.38
1695.0,18.67,0.88,1.33
1696.0,18.4,0.89,1.2
1697.0,13.71,0.93,1.43
1698.0,18.12,0.91,2.0
1699.0,13.5,0.98,2.12
1700.0,18.12,0.89,2.0
1701.0,13.75,0.95,1.12
1702.0,17.38,0.94,1.38
1703.0,19.0,0.82,1.25
1704.0,72.36,0.63,1.0
1706.0,23.83,0.88,1.0
1707.0,19.62,0.88,1.0
1708.0,17.0,0.78,1.0
1709.0,17.38,0.88,1.5
1710.0,16.38,0.84,1.0
1711.0,16.5,0.81,2.38
1712.0,13.75,0.86,1.0
1713.0,18.5,0.91,1.25
1714.0,17.38,0.97,1.88
1715.0,28.25,0.97,1.0
1716.0,18.86,0.51,1.14
1717.0,23.25,0.84,1.12
1718.0,17.62,0.92,1.25
1719.0,26.38,0.9,1.12
1720.0,17.88,0.96,1.62
1721.0,17.86,0.96,1.0
1722.0,17.5,0.93,1.67
1723.0,94.25,0.98,2.0
1724.0,16.38,0.94,1.25
1725.0,8085.5,0.84,2.38
